campaign_id,campaign_name,channel,spend_date,amount_ngn,clicks,conversions
CMP-FB-01,FB_Brand_Awareness_NG,Facebook Ads,2026-07-12,21477.37,349,25
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-12,19992.04,330,32
CMP-GG-02,Google_Shopping_HighMargin,Google Ads,2026-07-12,39958.38,732,64
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-12,39098.91,597,32
CMP-TT-01,TikTok_GenZ_Challenge,TikTok,2026-07-12,23426.78,886,32
CMP-X-01,Twitter_Tech_Community_Ad,X (Twitter),2026-07-12,10123.16,146,11
CMP-FB-01,FB_Brand_Awareness_NG,Facebook Ads,2026-07-13,27636.22,429,35
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-13,15341.66,207,29
CMP-GG-01,Google_Search_Brand_Keywords,Google Ads,2026-07-13,19940.69,435,60
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-13,28812.8,493,24
CMP-IG-02,IG_Reels_Electronics_FlashSale,Instagram,2026-07-13,32344.13,639,56
CMP-TT-01,TikTok_GenZ_Challenge,TikTok,2026-07-13,28503.03,1021,43
CMP-FB-01,FB_Brand_Awareness_NG,Facebook Ads,2026-07-14,32172.41,596,55
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-14,22450.37,334,36
CMP-GG-01,Google_Search_Brand_Keywords,Google Ads,2026-07-14,12046.43,218,26
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-14,46611.28,865,61
CMP-IG-02,IG_Reels_Electronics_FlashSale,Instagram,2026-07-14,37807.93,685,56
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-15,21840.24,309,29
CMP-GG-02,Google_Shopping_HighMargin,Google Ads,2026-07-15,24585.64,454,47
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-15,42446.68,634,35
CMP-IG-02,IG_Reels_Electronics_FlashSale,Instagram,2026-07-15,49571.07,987,96
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-16,16265.54,218,28
CMP-GG-01,Google_Search_Brand_Keywords,Google Ads,2026-07-16,19311.87,383,58
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-16,28578.71,481,25
CMP-IG-02,IG_Reels_Electronics_FlashSale,Instagram,2026-07-16,43469.84,786,84
CMP-X-01,Twitter_Tech_Community_Ad,X (Twitter),2026-07-16,15112.18,268,16
CMP-FB-01,FB_Brand_Awareness_NG,Facebook Ads,2026-07-17,31999.2,545,37
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-17,20243.02,295,29
CMP-GG-02,Google_Shopping_HighMargin,Google Ads,2026-07-17,33279.58,587,67
CMP-IG-01,IG_Influencer_Fashion_Promo,Instagram,2026-07-17,33732.25,648,35
CMP-IG-02,IG_Reels_Electronics_FlashSale,Instagram,2026-07-17,40956.83,703,61
CMP-FB-02,FB_Retargeting_CartAbandoners,Facebook Ads,2026-07-18,15278.28,240,28
